Model,Accuracy,Precision,Recall,F1-Score,AUC
XGBoost (Weighted),0.6224272533711852,0.4081395348837209,0.9385026737967914,0.5688816855753647,0.8273760624144256
Logistic Regression (Weighted),0.7246273953158269,0.4889240506329114,0.8262032085561497,0.614314115308151,0.8487948539099435
Logistic Regression (SMOTE),0.730305180979418,0.4945652173913043,0.7299465240641712,0.5896328293736501,0.8251750238962516
Random Forest (SMOTE),0.7395315826827538,0.5069306930693069,0.6844919786096256,0.5824800910125142,0.8154886460513059
Random Forest (Weighted),0.78708303761533,0.6081871345029239,0.5561497326203209,0.5810055865921788,0.8248611434033429
Logistic Regression,0.8048261178140526,0.6666666666666666,0.5294117647058824,0.5901639344262295,0.8490066909504249
XGBoost,0.7764371894960965,0.5896656534954408,0.5187165775401069,0.5519203413940256,0.822379808313312
Random Forest,0.7877927608232789,0.6334519572953736,0.4759358288770053,0.5435114503816794,0.8251259397039448
