Model,Accuracy,Precision,Recall,F1-Score,AUC
Logistic Regression (SMOTE),0.730305180979418,0.4945652173913043,0.7299465240641712,0.5896328293736501,0.8251750238962516
Logistic Regression (Weighted),0.7246273953158269,0.4889240506329114,0.8262032085561497,0.614314115308151,0.8487948539099435
Random Forest (SMOTE),0.7395315826827538,0.5069306930693069,0.6844919786096256,0.5824800910125142,0.8154886460513059
Random Forest (Weighted),0.78708303761533,0.6081871345029239,0.5561497326203209,0.5810055865921788,0.8248611434033429
XGBoost (Weighted),0.6224272533711852,0.40813953488372096,0.9385026737967914,0.5688816855753647,0.8273760624144256
